10000,10000
1
4000
7000
5000,5000
3861,636
9844,2770
6832,508
2585,7304
4666,9142
8123,1440
8474,7524
2417,8250
5726,6949
4098,849
4925,5731
9048,4943
9715,1056
8173,1827
6453,7542
9336,6658
620,9633
7689,6207
1775,5341
9510,1181
2899,3270
2580,1833
8343,3061
2743,3517
7042,1377
1051,7232
4999,5509
75,1998
5041,6329
5113,3050
3132,3334
2512,9627
7490,5710
1409,8782
3484,109
2697,3522
3895,6919
6837,4098
4173,3071
2230,6945
7641,5735
4294,5203
1005,1235
3075,3738
3280,4107
8139,5194
8283,5467
3527,866
3814,6292
8413,1641
2791,4244
5851,9558
6932,7117
1694,2476
565,6039
3932,4334
1326,2345
7941,7545
109,9557
4562,1468
8703,3178
3484,2193
9700,4041
4724,8705
5249,3194
318,9178
9575,3223
4604,8231
7754,1424
5779,5574
5668,9004
8917,4305
1610,2081
7477,7976
53,7302
2280,6113
9447,4879
8285,7332
998,3954
3056,9372
3038,4708
2754,9150
5375,3540
5965,5849
6445,7914
372,6646
6125,6777
2626,3982
4761,7963
5283,4890
4945,5011
7644,1678
4142,8299
9279,3323
5697,4120
3493,7624
9454,8428
4258,9413
3642,6966
8035,7463
4700,8446
1025,3619
1917,3563
1234,6273
4050,8746
2787,2479
7857,1943
1404,268
6250,5437
8087,9724
9468,9530
5880,7826
8761,3109
9106,2469
53,8977
3128,3159
9363,9450
8889,9939
7110,5513
964,8376
2817,7238
4687,8484
2210,7463
5364,8354
2947,1197
727,8814
1572,6654
9555,9247
7611,467
9392,6251
5332,7095
2050,6055
5621,2539
7851,830
1482,6208
4204,1318
8513,9580
1016,3403
3455,7875
6371,901
6917,9031
6200,2331
4836,4420
1264,3361
9252,879
1798,5775
3833,5468
1065,5897
4798,228
3784,2924
1099,2920
6736,9113
6053,7622
1977,1697
6223,3078
5254,8586
3956,1458
2483,1834
895,7556
368,8076
9016,4637
7706,5039
5188,8496
254,8584
3206,4236
8196,9598
181,4578
4168,7393
4634,5880
793,7257
9738,5157
7385,230
581,4405
3695,3237
599,72
66,512
1644,8740
6665,9331
5312,2533
5626,1789
4139,9815
7864,9246
2561,6196
1995,6459
206,9976
1790,5761
1609,4437
9687,6395
4523,5612
5478,1109
9506,8189
4372,4805
3735,4742
9345,7863
4983,1395
4423,1100
9095,6870
4363,6827
4966,8926
8007,8628
848,9951
9051,797
1627,4849
1523,7501
461,4293
8139,6430
3998,4311
4404,5902
5737,1467
3819,4610
9795,9329
7932,3363
4642,2548
7710,5614
8750,8654
883,1254
1293,6113
1289,9935
3189,4973
5067,4008
1432,2143
4491,2271
5594,6005
7272,8133
1630,8772
2442,4257
3671,9299
841,6891
888,9712
3619,2198
3179,8836
1509,2102
7270,3635
6026,2522
